VehicleType  travelTime  travelDistance  emptyTimeShare   emptyDistanceShare
heavy  -15296.0   27000.0   -0.0   0.0
heavy  -27678.0   31000.0   -0.0   0.0
heavy  -19934.0   31000.0   -0.0   0.0
heavy  -17908.0   27000.0   -0.0   0.0
heavy  -26882.0   31000.0   -0.0   0.0
heavy  -26447.0   31000.0   -0.0   0.0
heavy  -29678.0   43000.0   -0.0   0.0
heavy  -28220.0   39000.0   -0.0   0.0
heavy  -26621.0   35000.0   -0.0   0.0
heavy  -24580.0   31000.0   -0.0   0.0
heavy  -26981.0   43000.0   -0.0   0.0
heavy  -26069.0   35000.0   -0.0   0.0
heavy  -14081.0   27000.0   -0.0   0.0
heavy  -28715.0   35000.0   -0.0   0.0
heavy  -29435.0   39000.0   -0.0   0.0
heavy  -20076.0   27000.0   -0.0   0.0
heavy  -23249.0   27000.0   -0.0   0.0
heavy  -20369.0   27000.0   -0.0   0.0
heavy  -25308.0   43000.0   -0.0   0.0
heavy  -30833.0   35000.0   -0.0   0.0
heavy  -25073.0   31000.0   -0.0   0.0
heavy  -26489.0   31000.0   -0.0   0.0
heavy  -11437.0   19000.0   -0.0   0.0
heavy  -19883.0   35000.0   -0.0   0.0
heavy  -27443.0   39000.0   -0.0   0.0
heavy  -24051.0   39000.0   -0.0   0.0
heavy  -20243.0   35000.0   -0.0   0.0
heavy  -26957.0   31000.0   -0.0   0.0
heavy  -19766.0   31000.0   -0.0   0.0
heavy  -22646.0   27000.0   -0.0   0.0
heavy  -26781.0   27000.0   -0.0   0.0
heavy  -23006.0   27000.0   -0.0   0.0
heavy  -31034.0   47000.0   -0.0   0.0
