VehicleId	VehicleType	CarrierId	DriverID	travelTime	travelDistance	cost
freight_35_veh_carrier_35_heavyVehicle_3	heavy	3	freight_35_veh_carrier_35_heavyVehicle_3	-25308.0	43000.0	-3975.5540000000005
freight_35_veh_carrier_35_heavyVehicle_4	heavy	3	freight_35_veh_carrier_35_heavyVehicle_4	-30833.0	35000.0	-2956.6180000000004
freight_35_veh_carrier_35_heavyVehicle_1	heavy	3	freight_35_veh_carrier_35_heavyVehicle_1	-25073.0	31000.0	-3905.19
freight_35_veh_carrier_35_heavyVehicle_2	heavy	3	freight_35_veh_carrier_35_heavyVehicle_2	-26489.0	31000.0	-2662.278
freight_35_veh_carrier_35_heavyVehicle_0	heavy	3	freight_35_veh_carrier_35_heavyVehicle_0	-11437.0	19000.0	-664.33
freight_19_veh_carrier_19_heavyVehicle_4	heavy	1	freight_19_veh_carrier_19_heavyVehicle_4	-24974.0	23000.0	-2257.718
freight_19_veh_carrier_19_heavyVehicle_3	heavy	1	freight_19_veh_carrier_19_heavyVehicle_3	-16694.0	31000.0	-1475.6620000000003
freight_7_veh_carrier_7_heavyVehicle_0	heavy	7	freight_7_veh_carrier_7_heavyVehicle_0	-27360.0	27000.0	-3321.8979999999997
freight_23_veh_carrier_23_heavyVehicle_4	heavy	2	freight_23_veh_carrier_23_heavyVehicle_4	-19883.0	35000.0	-1776.8580000000002
freight_23_veh_carrier_23_heavyVehicle_3	heavy	2	freight_23_veh_carrier_23_heavyVehicle_3	-27443.0	39000.0	-3847.7660000000014
freight_3_veh_carrier_3_heavyVehicle_0	heavy	3	freight_3_veh_carrier_3_heavyVehicle_0	-28765.0	23000.0	-2245.406
freight_23_veh_carrier_23_heavyVehicle_2	heavy	2	freight_23_veh_carrier_23_heavyVehicle_2	-24051.0	39000.0	-3524.046000000001
freight_3_veh_carrier_3_heavyVehicle_1	heavy	3	freight_3_veh_carrier_3_heavyVehicle_1	-31587.0	47000.0	-7564.125999999999
freight_23_veh_carrier_23_heavyVehicle_1	heavy	2	freight_23_veh_carrier_23_heavyVehicle_1	-20243.0	35000.0	-2183.17
freight_3_veh_carrier_3_heavyVehicle_2	heavy	3	freight_3_veh_carrier_3_heavyVehicle_2	-26849.0	23000.0	-2802.2140000000004
freight_23_veh_carrier_23_heavyVehicle_0	heavy	2	freight_23_veh_carrier_23_heavyVehicle_0	-26957.0	31000.0	-3272.9820000000004
freight_3_veh_carrier_3_heavyVehicle_3	heavy	3	freight_3_veh_carrier_3_heavyVehicle_3	-23576.0	31000.0	-2153.8060000000005
freight_3_veh_carrier_3_heavyVehicle_4	heavy	3	freight_3_veh_carrier_3_heavyVehicle_4	-30507.0	39000.0	-6070.222000000001
freight_28_veh_carrier_28_heavyVehicle_0	heavy	2	freight_28_veh_carrier_28_heavyVehicle_0	-27996.0	35000.0	-3678.418
freight_28_veh_carrier_28_heavyVehicle_1	heavy	2	freight_28_veh_carrier_28_heavyVehicle_1	-17330.0	31000.0	-1291.4300000000003
freight_28_veh_carrier_28_heavyVehicle_2	heavy	2	freight_28_veh_carrier_28_heavyVehicle_2	-27142.0	35000.0	-3337.1860000000006
freight_11_veh_carrier_11_heavyVehicle_4	heavy	1	freight_11_veh_carrier_11_heavyVehicle_4	-19766.0	31000.0	-1859.4940000000004
freight_11_veh_carrier_11_heavyVehicle_3	heavy	1	freight_11_veh_carrier_11_heavyVehicle_3	-22646.0	27000.0	-1747.1540000000002
freight_11_veh_carrier_11_heavyVehicle_2	heavy	1	freight_11_veh_carrier_11_heavyVehicle_2	-26781.0	27000.0	-2427.441999999999
freight_7_veh_carrier_7_heavyVehicle_4	heavy	7	freight_7_veh_carrier_7_heavyVehicle_4	-24840.0	31000.0	-1271.806
freight_11_veh_carrier_11_heavyVehicle_1	heavy	1	freight_11_veh_carrier_11_heavyVehicle_1	-23006.0	27000.0	-1905.906
freight_7_veh_carrier_7_heavyVehicle_3	heavy	7	freight_7_veh_carrier_7_heavyVehicle_3	-24468.0	35000.0	-2488.058000000001
freight_11_veh_carrier_11_heavyVehicle_0	heavy	1	freight_11_veh_carrier_11_heavyVehicle_0	-31034.0	47000.0	-5635.87
freight_7_veh_carrier_7_heavyVehicle_2	heavy	7	freight_7_veh_carrier_7_heavyVehicle_2	-22546.0	23000.0	-2361.134
freight_7_veh_carrier_7_heavyVehicle_1	heavy	7	freight_7_veh_carrier_7_heavyVehicle_1	-26079.0	39000.0	-4952.1900000000005
freight_28_veh_carrier_28_heavyVehicle_3	heavy	2	freight_28_veh_carrier_28_heavyVehicle_3	-29125.0	23000.0	-3104.07
freight_28_veh_carrier_28_heavyVehicle_4	heavy	2	freight_28_veh_carrier_28_heavyVehicle_4	-29386.0	43000.0	-4489.842000000001
